edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_20730,PEI,node_3051,node_16476,deprotonation,ionization,1.0
edge_20731,PEI,node_3052,node_16477,electron_loss,ionization,1.0
edge_20732,PEI,node_3052,node_16478,electron_gain,ionization,1.0
edge_20733,PEI,node_3052,node_16479,protonation,ionization,1.0
edge_20734,PEI,node_3052,node_16480,deprotonation,ionization,1.0
edge_20735,PEI,node_3053,node_16481,electron_loss,ionization,1.0
edge_20736,PEI,node_3053,node_16482,electron_gain,ionization,1.0
edge_20737,PEI,node_3053,node_16483,protonation,ionization,1.0
edge_20738,PEI,node_3053,node_16484,deprotonation,ionization,1.0
edge_20739,PEI,node_3054,node_16485,electron_loss,ionization,1.0
edge_20740,PEI,node_3054,node_16486,electron_gain,ionization,1.0
edge_20741,PEI,node_3054,node_16487,protonation,ionization,1.0
edge_20742,PEI,node_3054,node_16488,deprotonation,ionization,1.0
edge_20743,PEI,node_3055,node_16489,electron_loss,ionization,1.0
edge_20744,PEI,node_3055,node_16490,electron_gain,ionization,1.0
edge_20745,PEI,node_3055,node_16491,protonation,ionization,1.0
edge_20746,PEI,node_3055,node_16492,deprotonation,ionization,1.0
edge_20747,PEI,node_3056,node_16493,electron_loss,ionization,1.0
edge_20748,PEI,node_3056,node_16494,electron_gain,ionization,1.0
edge_20749,PEI,node_3056,node_16495,protonation,ionization,1.0
edge_20750,PEI,node_3056,node_16496,deprotonation,ionization,1.0
edge_20751,PEI,node_3057,node_16497,electron_loss,ionization,1.0
edge_20752,PEI,node_3057,node_16498,electron_gain,ionization,1.0
edge_20753,PEI,node_3057,node_16499,protonation,ionization,1.0
edge_20754,PEI,node_3057,node_16500,deprotonation,ionization,1.0
edge_20755,PEI,node_3058,node_16501,electron_loss,ionization,1.0
edge_20756,PEI,node_3058,node_16502,electron_gain,ionization,1.0
edge_20757,PEI,node_3058,node_16503,protonation,ionization,1.0
edge_20758,PEI,node_3058,node_16504,deprotonation,ionization,1.0
edge_20759,PEI,node_3059,node_16505,electron_loss,ionization,1.0
edge_20760,PEI,node_3059,node_16506,electron_gain,ionization,1.0
edge_20761,PEI,node_3059,node_16507,protonation,ionization,1.0
edge_20762,PEI,node_3059,node_16508,deprotonation,ionization,1.0
edge_20763,PEI,node_3060,node_16509,electron_loss,ionization,1.0
edge_20764,PEI,node_3060,node_16510,electron_gain,ionization,1.0
edge_20765,PEI,node_3060,node_16511,protonation,ionization,1.0
edge_20766,PEI,node_3060,node_16512,deprotonation,ionization,1.0
edge_20767,PEI,node_3061,node_16513,electron_loss,ionization,1.0
edge_20768,PEI,node_3061,node_16514,electron_gain,ionization,1.0
edge_20769,PEI,node_3061,node_16515,protonation,ionization,1.0
edge_20770,PEI,node_3061,node_16516,deprotonation,ionization,1.0
edge_20771,PEI,node_3062,node_16517,electron_loss,ionization,1.0
edge_20772,PEI,node_3062,node_16518,electron_gain,ionization,1.0
edge_20773,PEI,node_3062,node_16519,protonation,ionization,1.0
edge_20774,PEI,node_3062,node_16520,deprotonation,ionization,1.0
edge_20775,PEI,node_3063,node_16521,electron_loss,ionization,1.0
edge_20776,PEI,node_3063,node_16522,electron_gain,ionization,1.0
edge_20777,PEI,node_3063,node_16523,protonation,ionization,1.0
edge_20778,PEI,node_3063,node_16524,deprotonation,ionization,1.0
edge_20779,PEI,node_3064,node_16525,electron_loss,ionization,1.0
edge_20780,PEI,node_3064,node_16526,electron_gain,ionization,1.0
edge_20781,PEI,node_3064,node_16527,protonation,ionization,1.0
edge_20782,PEI,node_3064,node_16528,deprotonation,ionization,1.0
edge_20783,PEI,node_3065,node_16529,electron_loss,ionization,1.0
edge_20784,PEI,node_3065,node_16530,electron_gain,ionization,1.0
edge_20785,PEI,node_3065,node_16531,protonation,ionization,1.0
edge_20786,PEI,node_3065,node_16532,deprotonation,ionization,1.0
edge_20787,PEI,node_3066,node_16533,electron_loss,ionization,1.0
edge_20788,PEI,node_3066,node_16534,electron_gain,ionization,1.0
edge_20789,PEI,node_3066,node_16535,protonation,ionization,1.0
edge_20790,PEI,node_3066,node_16536,deprotonation,ionization,1.0
edge_20791,PEI,node_3067,node_16537,electron_loss,ionization,1.0
edge_20792,PEI,node_3067,node_16538,electron_gain,ionization,1.0
edge_20793,PEI,node_3067,node_16539,protonation,ionization,1.0
edge_20794,PEI,node_3067,node_16540,deprotonation,ionization,1.0
edge_20795,PEI,node_3068,node_16541,electron_loss,ionization,1.0
edge_20796,PEI,node_3068,node_16542,electron_gain,ionization,1.0
edge_20797,PEI,node_3068,node_16543,protonation,ionization,1.0
edge_20798,PEI,node_3068,node_16544,deprotonation,ionization,1.0
edge_20799,PEI,node_3069,node_16545,electron_loss,ionization,1.0
edge_20800,PEI,node_3069,node_16546,electron_gain,ionization,1.0
edge_20801,PEI,node_3069,node_16547,protonation,ionization,1.0
edge_20802,PEI,node_3069,node_16548,deprotonation,ionization,1.0
edge_20803,PEI,node_3070,node_16549,electron_loss,ionization,1.0
edge_20804,PEI,node_3070,node_16550,electron_gain,ionization,1.0
edge_20805,PEI,node_3070,node_16551,protonation,ionization,1.0
edge_20806,PEI,node_3070,node_16552,deprotonation,ionization,1.0
edge_20807,PEI,node_3071,node_16553,electron_loss,ionization,1.0
edge_20808,PEI,node_3071,node_16554,electron_gain,ionization,1.0
edge_20809,PEI,node_3071,node_16555,protonation,ionization,1.0
edge_20810,PEI,node_3071,node_16556,deprotonation,ionization,1.0
edge_20811,PEI,node_3072,node_16557,electron_loss,ionization,1.0
edge_20812,PEI,node_3072,node_16558,electron_gain,ionization,1.0
edge_20813,PEI,node_3072,node_16559,protonation,ionization,1.0
edge_20814,PEI,node_3072,node_16560,deprotonation,ionization,1.0
edge_20815,PEI,node_3073,node_16561,electron_loss,ionization,1.0
edge_20816,PEI,node_3073,node_16562,electron_gain,ionization,1.0
edge_20817,PEI,node_3073,node_16563,protonation,ionization,1.0
edge_20818,PEI,node_3073,node_16564,deprotonation,ionization,1.0
edge_20819,PEI,node_3074,node_16565,electron_loss,ionization,1.0
edge_20820,PEI,node_3074,node_16566,electron_gain,ionization,1.0
edge_20821,PEI,node_3074,node_16567,protonation,ionization,1.0
