edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_7105,ETFE,node_0804,node_5160,protonation,ionization,1.0
edge_7106,ETFE,node_0804,node_5161,deprotonation,ionization,1.0
edge_7107,ETFE,node_0805,node_5162,electron_loss,ionization,1.0
edge_7108,ETFE,node_0805,node_5163,electron_gain,ionization,1.0
edge_7109,ETFE,node_0805,node_5164,protonation,ionization,1.0
edge_7110,ETFE,node_0805,node_5165,deprotonation,ionization,1.0
edge_7111,ETFE,node_0806,node_5166,electron_loss,ionization,1.0
edge_7112,ETFE,node_0806,node_5167,electron_gain,ionization,1.0
edge_7113,ETFE,node_0806,node_5168,protonation,ionization,1.0
edge_7114,ETFE,node_0806,node_5169,deprotonation,ionization,1.0
edge_7115,ETFE,node_0807,node_5170,electron_loss,ionization,1.0
edge_7116,ETFE,node_0807,node_5171,electron_gain,ionization,1.0
edge_7117,ETFE,node_0807,node_5172,protonation,ionization,1.0
edge_7118,ETFE,node_0807,node_5173,deprotonation,ionization,1.0
edge_7119,ETFE,node_0808,node_5174,electron_loss,ionization,1.0
edge_7120,ETFE,node_0808,node_5175,electron_gain,ionization,1.0
edge_7121,ETFE,node_0808,node_5176,protonation,ionization,1.0
edge_7122,ETFE,node_0808,node_5177,deprotonation,ionization,1.0
edge_7123,ETFE,node_0809,node_5178,electron_loss,ionization,1.0
edge_7124,ETFE,node_0809,node_5179,electron_gain,ionization,1.0
edge_7125,ETFE,node_0809,node_5180,protonation,ionization,1.0
edge_7126,ETFE,node_0809,node_5181,deprotonation,ionization,1.0
edge_7127,ETFE,node_0810,node_5182,electron_loss,ionization,1.0
edge_7128,ETFE,node_0810,node_5183,electron_gain,ionization,1.0
