compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
Nomex,meta-Aramid,C6H5N,negative,-1,91.04219916558,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_1580,"M | fragment C,H,N from C-N+C-N bond break(s) | electron_gain",node_1580;node_1600
Nomex,meta-Aramid,CH2O,negative,-1,30.01056468403,0.6900000000000002,0.6000000000000001,2,1,2,fragment_h_shift,node_1633,"M | fragment C,H,O from C-N bond break(s) | h_shift_+1 | electron_gain",node_1633;node_1677
Nomex,meta-Aramid,C13H9O,positive,1,181.06533990964,0.688,0.518,12,1,12,recombination,node_2554,node_0011 + node_0059 | single_dehydrogenative_recombination | protonation,node_2554;node_2582;node_3158;node_3895;node_5967;node_6027;node_6055;node_6083;node_6916;node_6948;node_7228;node_7232
Nomex,meta-Aramid,C2H3N2O2,positive,1,87.01945234469,0.688,0.518,4,1,4,recombination,node_1958,node_0004 + node_0067 | single_dehydrogenative_recombination | protonation,node_1958;node_3498;node_4563;node_4651
Nomex,meta-Aramid,C8H8N3O2,positive,1,178.06165151027,0.688,0.518,10,1,10,recombination,node_1934,node_0004 + node_0055 | single_dehydrogenative_recombination | protonation,node_1934;node_2294;node_2946;node_3514;node_4515;node_4627;node_5439;node_5519;node_6700;node_6752
Nomex,meta-Aramid,C14H13N3O2,positive,1,255.10077667142,0.6859999999999999,0.516,16,1,16,recombination,node_2086,node_0006 + node_0039 | single_dehydrogenative_recombination | protonation,node_2086;node_2242;node_4525;node_4633;node_4923;node_4989;node_5071;node_5105;node_5425;node_5449;node_5513;node_5525;node_5761;node_5801;node_5869;node_5889
Nomex,meta-Aramid,C15H10O3,positive,1,238.06299418101,0.6859999999999999,0.516,6,1,6,recombination,node_2342,node_0009 + node_0045 | single_dehydrogenative_recombination | protonation,node_2342;node_2522;node_5547;node_5657;node_5671;node_5725
Nomex,meta-Aramid,C15H11NO3,positive,1,253.07389321767,0.6859999999999999,0.516,23,1,23,recombination,node_1738,node_0002 + node_0033 | single_dehydrogenative_recombination | protonation,node_1738;node_1974;node_2014;node_2090;node_2178;node_2326;node_2514;node_2690;node_3969;node_4143;node_4727;node_4813;node_4859;node_4931;node_5075;node_5163;node_5265;node_5283;node_5333;node_5621;node_5645;node_5709;node_5721
Nomex,meta-Aramid,C15H13N3O3,positive,1,283.09569129099,0.6859999999999999,0.516,18,1,18,recombination,node_1922,node_0004 + node_0047 | single_dehydrogenative_recombination | protonation,node_1922;node_2094;node_2418;node_2594;node_4345;node_4433;node_4491;node_4615;node_4939;node_5079;node_5197;node_5301;node_5809;node_5833;node_5893;node_5905;node_6165;node_6233
Nomex,meta-Aramid,C15H14N4O3,positive,1,298.10659032765,0.6859999999999999,0.516,6,1,6,recombination,node_2250,node_0008 + node_0043 | single_dehydrogenative_recombination | protonation,node_2250;node_2426;node_5351;node_5475;node_5777;node_5877
Nomex,meta-Aramid,C16H11NO4,positive,1,281.06880783724,0.6859999999999999,0.516,4,1,4,recombination,node_2170,node_0007 + node_0041 | single_dehydrogenative_recombination | protonation,node_2170;node_2330;node_5147;node_5275
Nomex,meta-Aramid,C16H12N2O4,positive,1,296.0797068739,0.6859999999999999,0.516,4,1,4,recombination,node_2338,node_0009 + node_0043 | single_dehydrogenative_recombination | protonation,node_2338;node_2430;node_5539;node_5667
Nomex,meta-Aramid,C16H13N3O4,positive,1,311.09060591056,0.6859999999999999,0.516,4,1,4,recombination,node_2174,node_0007 + node_0043 | single_dehydrogenative_recombination | protonation,node_2174;node_2422;node_5155;node_5279
