spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,25.008505109703783,639.6409342554914,50,structural_candidate,,True,True,C2H,0.0006800774737847348,27.194587010595818,0.6580000000000001
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,41.003378892957755,98.45295853005254,26,structural_candidate,,True,True,C2HO,0.0006392411577564872,15.590206000501354,0.8800000000000001
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,49.0086005714118,245.22169280836243,41,structural_candidate,,True,True,C4H,0.0007755391817951818,15.824803106139647,0.6580000000000001
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,71.01457795990537,27.900261326408092,10,structural_candidate,,True,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,73.00843534710967,102.90447188703745,29,structural_candidate,,True,True,C6H,0.0006103148796654523,8.359581721493868,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,22.98921041991672,324.7261984820828,15,contaminant,Na+,False,False,,,,
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,27.02236373073675,1325.1128830819482,35,low_mass_feature,C2H3+,True,True,C2H3,-0.0011113659532497877,-41.125945100447666,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,29.03875342951208,1468.5152272072246,37,low_mass_feature,C2H5+,True,True,C2H5,-0.00037173163791948127,-12.801061872786807,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,39.02225085365629,1274.394754539341,36,structural_candidate,,True,True,C3H3,-0.0012242430337110477,-31.371963431695733,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,41.0395272498883,3225.362666922855,50,structural_candidate,,True,True,C3H5,0.00040208873830493985,9.797692731656479,0.7980000000000003
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,43.0176233866491,218.7530022096263,11,structural_candidate,,True,True,C2H3O,-0.0007663296109043927,-17.814000383532186,0.8800000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,43.055259587364425,1509.537419540782,40,structural_candidate,,True,True,C3H7,0.00048436175442390095,11.249896251596063,0.8580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,45.0333721470524,329.7579018157364,16,structural_candidate,,True,True,C2H5O,-0.0006676336676036954,-14.82508944022213,0.6220000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,51.021687,18.973964838120857,1,structural_candidate,,True,True,C4H3,-0.0017880966899994633,-35.04458852735926,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,53.03804893297551,359.30925160918434,17,structural_candidate,,True,True,C4H5,-0.001076228174490268,-20.291212783399786,0.6580000000000001
PEI_+PEI-1,PEI,data/PEI/+PEI-1.txt,positive,55.05541038498165,1491.05101354597,42,structural_candidate,,True,True,C4H7,0.0006351593716473758,11.53686249820373,0.6580000000000001
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,1.0083951474171045,2307.821422004443,52,low_mass_background,below_min_main_mz,False,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,13.00711573460178,206.09323983838826,30,low_mass_background,below_min_main_mz,False,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,15.993893579089558,81.48944206179215,18,contaminant,O-,False,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,17.00169686616899,82.31563986224239,18,contaminant,OH-,False,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,23.998836899310316,39.306888377571156,10,low_mass_background,below_min_main_mz,False,False,,,,
PEI_-PEI-1,PEI,data/PEI/-PEI-1.txt,negative,25.00839288368315,583.7207973243616,48,structural_candidate,,True,True,C2H,0.0005678514531517465,22.70695082118903,0.6580000000000001
