spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,network_score,generation_type,matched_ion_mode,network_path
EVA_neg,EVA,neg,EVA,C6H2O3,C_6H_2O_3-,122.006,46736.95,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 O3 | positive ion formula
EVA_neg,EVA,neg,EVA,C9H3,C_9H_3-,111.0208,42807.05,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
EVA_neg,EVA,neg,EVA,C12H,C_12H-,145.0028,42040.35,0.22,carbon_cluster,positive,carbon cluster C12 H0-26 | positive ion formula
EVA_neg,EVA,neg,EVA,C2O,C_2O-,39.9975,40592.83,0.5,adduct,negative,break 1 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H
EVA_neg,EVA,neg,EVA,C9,C_9-,107.9976,36092.84,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
EVA_pos,EVA,pos,EVA,C3H5,C_3H_5+,41.0398,914932.0,0.45,adduct,negative,break 2 bond(s) | -H | ; | break 2 bond(s) | -H
EVA_pos,EVA,pos,EVA,C4H7,C_4H_7+,55.0564,900773.0,0.5499999999999999,adduct,negative,break 1 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | H shift -1 | -H
EVA_pos,EVA,pos,EVA,C3H7,C_3H_7+,43.0558,626492.0,0.5,neutral_loss,neutral,break 1 bond(s) | -CO2 | ; | break 1 bond(s) | H shift +1 | -CH3 | ; | break 1 bond(s) | H shift -2 | -CO
EVA_pos,EVA,pos,EVA,C7H7,C_7H_7+,91.0528,521260.0,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
EVA_pos,EVA,pos,EVA,C5H9,C_5H_9+,69.0727,520246.0,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_pos,EVA,pos,EVA,C5H7,C_5H_7+,67.0551,482917.0,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_pos,EVA,pos,EVA,C4H9,C_4H_9+,57.0726,464255.0,0.6,fragment,neutral,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s)
EVA_pos,EVA,pos,EVA,C6H9,C_6H_9+,81.0721,395112.0,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_pos,EVA,pos,EVA,C2H3O,C_2H_3O+,43.0179,383772.0,0.6,fragment,neutral,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s)
EVA_pos,EVA,pos,EVA,C3H3,C_3H_3+,39.022,364808.0,0.35,adduct,negative,break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H
EVA_pos,EVA,pos,EVA,C4H5,C_4H_5+,53.0379,353367.0,0.4,neutral_loss,neutral,break 1 bond(s) | H shift -2 | -H2 | ; | break 1 bond(s) | H shift -2 | -H2O | ; | break 2 bond(s) | H shift -2 | -H2
EVA_pos,EVA,pos,EVA,C6H7,C_6H_7+,79.0521,292590.0,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_pos,EVA,pos,EVA,C6H5,C_6H_5+,77.0354,282485.0,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
