material,peak_index,mz,intensity,polarity,ion_mode,rank,rf_formula_raw,rf_formula_clean,normalized_formula,rf_exact_mz,rf_ppm,rf_score,rf_source
FEP,802,401.966,574.48,+,positive,484,C₆H₇Cl₂N₃OPt⁺,C6H7Cl2N3OPt,,401.96086,-12.8,32,mols[0]
FEP,811,416.9601,1301.94,+,positive,430,BiPb⁺,BiPb,,416.956502,-8.6,41,mols[0]
FEP,816,430.9614,3648.01,+,positive,307,C₄H₁₀Cl₂N₂O₅Pt⁺,C4H10Cl2N2O5Pt,,430.960921,-1.1,34,mols[0]
FEP,838,480.9521,2009.09,+,positive,388,HO₄Pb₂⁺,HO4Pb2,,480.94024,-24.7,35,mols[0]
FEP,843,492.951,669.51,+,positive,477,C₈H₁₀O₈PtS₂⁺,C8H10O8PtS2,,492.945954,-10.2,33,mols[0]
FEP,857,530.9447,1371.95,+,positive,423,C₁₀H₁₆Cl₄N₂O₂Pt⁺,C10H16Cl4N2O2Pt,,530.960832,30.4,43,mols[0]
FEP,889,642.9119,218.06,+,positive,508,Bi₃O⁺,Bi3O,,642.935563,36.8,35,mols[0]
FEP,891,646.8856,117.01,-,negative,404,C₈F₁₂O₈Pt⁻,C8F12O8Pt,,646.905496,30.8,100,mols[0]
Nomex,136,52.9547,214.03,-,negative,525,H₂V⁻,H2V,,52.960156,103.0,46,mols[0]
Nomex,137,52.9643,2025.17,+,positive,564,H₂V⁺,H2V,,52.959058,-99.0,29,mols[0]
Nomex,191,64.9623,9429.33,-,negative,175,CH₂V⁻,CH2V,,64.960156,-33.0,38,mols[0]
Nomex,195,65.9529,7862.37,-,negative,206,HNV⁻,HNV,,65.955405,38.0,50,mols[0]
Nomex,247,76.9252,7249.02,+,positive,325,AsH₂⁺,AsH2,,76.936696,149.4,24,mols[0]
Nomex,248,76.9576,4925.51,-,negative,271,H₃NaV⁻,H3NaV,,76.95775,1.9,29,mols[0]
Nomex,259,78.9512,54437.5,-,negative,53,AsH₄⁻,AsH4,,78.953444,28.4,31,mols[0]
Nomex,268,81.9508,95387.59,-,negative,36,HNOV⁻,HNOV,,81.95032,-5.9,38,mols[0]
Nomex,291,87.928,6464.34,+,positive,342,CHAs⁺,CHAs,,87.928871,9.9,38,mols[0]
Nomex,310,92.9166,2418.82,-,negative,362,Nb⁻,Nb,,92.906927,-104.1,65,mols[0]
Nomex,316,94.9114,1762.11,-,negative,400,H₂Nb⁻,H2Nb,,94.922577,117.8,46,mols[0]
Nomex,317,94.9196,954.26,+,positive,642,H₂Nb⁺,H2Nb,,94.921479,19.8,41,mols[0]
Nomex,327,96.9476,27602.74,-,negative,93,CH₂O₂V⁻,CH2O2V,,96.949986,24.6,34,mols[0]
Nomex,343,100.921,2153.79,-,negative,377,CAsN⁻,CAsN,,100.925218,41.8,40,mols[0]
Nomex,344,100.9301,2783.5,+,positive,506,C₂H₂As⁺,C2H2As,,100.936696,65.4,36,mols[0]
Nomex,352,102.9288,2421.06,-,negative,361,C₃OV⁻,C3OV,,102.939421,103.2,22,mols[0]
Nomex,357,103.9269,2990.89,-,negative,339,CHAsO⁻,CHAsO,,103.924884,-19.4,30,mols[0]
Nomex,370,106.9795,5063.62,+,positive,397,C₂H₄N₂V⁺,C2H4N2V,,106.980856,12.7,35,mols[0]
Nomex,373,107.9155,1215.36,+,positive,621,HNNb⁺,HNNb,,107.916728,11.4,39,mols[0]
Nomex,397,113.9153,2107.93,+,positive,554,Cd⁺,Cd,,113.902809,-109.7,55,mols[0]
Nomex,406,116.9156,3555.37,-,negative,312,CAsNO⁻,CAsNO,,116.920133,38.8,38,mols[0]
Nomex,411,117.9166,2308.13,-,negative,368,CH₄V₂⁻,CH4V2,,117.919763,26.8,21,mols[0]
Nomex,420,119.9078,9861.19,-,negative,168,CHNNb⁻,CHNNb,,119.917826,83.6,33,mols[0]
