Area Statistics
	Mass (u)	PET0 (-PET0-Floodgun-1) *
C_10H_6O_3-	174.0379	3405.52
C_10H_7O_3-	175.0423	7016.93
C_10H_8O_3-	176.0613	1932.78
C_9H_5O_4-	177.0241	9759.71
C_9H_6O_4-	178.0373	5190.58
C_9H_7O_4-	179.0435	13861.12
C_9H_8O_4-	180.0534	6310.01
C_11HO_3-	181.0074	9707.34
C_9H_9O_4-	181.0642	6079.99
C_11H_2O_3-	182.0139	9249.75
C_11H_3O_3-	183.0182	10407.19
C_11H_4O_3-	184.0264	4461.75
C_10HO_4-	185.0362	8280.26
C_10H_2O_4-	186.0418	4141.83
C_11H_7O_3-	187.0485	4956.32
C_11H_8O_3-	188.0586	1993.65
C_10H_5O_4-	189.0231	3805.98
C_11H_9O_3-	189.0686	2800.14
C_10H_6O_4-	190.0360	2591.83
C_10H_7O_4-	191.0408	18532.03
C_10H_8O_4-	192.0514	5783.11
C_12HO_3-	193.0045	10435.40
C_10H_9O_4-	193.0554	9627.22
C_13H_7O_2-	195.0439	7689.52
C_11H_16O_3-	196.0506	9929.38
C_12H_6O_3-	198.0410	2109.92
C_12H_7O_3-	199.0417	3015.55
C_12H_8O_3-	200.0432	1600.11
C_13H_2O_3-	206.0137	4631.85
C_14H_7O_2-	207.0314	15531.95
C_14H_9O_2-	209.0448	13094.41
C_14H_10O_2-	210.0439	4501.18
C_14H_11O_2-	211.0422	4709.30
C_14H_12O_2-	212.0470	2260.04
C_11H_5O_5-	217.0043	3097.27
C_15H_5O_2-	217.0627	2396.05
C_12H_12O_4-	220.0462	2082.86
C_14H_5O_3-	221.0451	3879.50
C_14H_8O_3-	224.0415	2691.85
C_14H_9O_3-	225.0498	3982.87
C_15H_5O_3-	233.0328	4207.84
C_15H_7O_3-	235.0443	3416.47
C_15H_8O_3-	236.0445	2051.41
C_15H_9O_3-	237.0482	4127.96
C_20H_9O_4-	313.0716	3039.06
C_21H_9O_6-	357.0635	1833.83
C_24H_41O_9-	473.2728	1020.13
C_26H_19O_9-	475.0961	851.46


